Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
Zarah521,Zarah521,,6,3,9,11,22,33,6,0.264317,0.305833,77.258333,0.010101,0.056128,1,0.00371,0,37,0.285714,0.032638
mooc1535623795330,mooc1535623795330,,2,4,6,2,7,9,5,0.301508,0.347778,0.2,0.000492,0.055319,1,0.001877,0,37,0.5,0.017568
"巫云燕",巫云燕,,7,11,18,13,15,28,4,0.41958,0.505556,1997.375,0.018822,0.009086,0,0.008404,0,37,0.032051,0.069225
"李玲玲8772",李玲玲8772,,1,1,2,2,2,4,5,0.29703,0.328333,0,0.000492,0.00102,0,0.001877,0,37,0,0.01267
mooc42829668954096170,mooc42829668954096170,,2,5,7,5,12,17,6,0.286957,0.346465,79.833333,0.002964,0.056463,1,0.001689,0,43,0.3,0.008424
"麦子mooc130",麦子mooc130,,2,1,3,2,4,6,1,1,1,0.2,0.003512,0.053753,1,0.002053,0,33,0.333333,0.017408
"师唐鸿琳",师唐鸿琳,,1,5,6,1,8,9,7,0.261044,0.3263,48.333333,0.003059,0.001062,1,0.001515,0,42,0.033333,0.004049
"黑龙江农垦胜利学校马金玲",黑龙江农垦胜利学校马金玲,,1,3,4,1,17,18,7,0.252066,0.299336,15.916667,0.000058,0.05462,1,0.001485,0,41,0.166667,0.003172
"师孔美娟",师孔美娟,,4,2,6,7,11,18,1,1,1,0,0.010034,0.053753,1,0.002115,0,7,0.4,0.01801
"吴江_向东",吴江_向东,,2,11,13,4,19,23,7,0.291262,0.406825,745.244048,0.003545,0.055734,1,0.002275,0,37,0.083333,0.01589
"东昌府区阳光小学吴小飞",东昌府区阳光小学吴小飞,,0,3,3,0,6,6,2,0.8,0.875,0,0,0.002636,0,0.001228,0,44,0,0
"师黄丽彬",师黄丽彬,,5,1,6,9,8,17,1,1,1,0.583333,0.009993,0.053753,1,0.002563,0,26,0.1,0.016029
"赵怀远远远",赵怀远远远,,0,5,5,0,10,10,1,1,1,0,0,0.057284,0,0.001228,0,45,0.2,0
ckhsun,ckhsun,,2,6,8,2,13,15,6,0.324324,0.390556,124.603571,0.005978,0.061911,0,0.001824,0,37,0.107143,0.007808
8511马丽娟,8511马丽娟,,2,10,12,3,31,34,6,0.298507,0.414167,386.083333,0.00311,0.061576,1,0.003099,0,37,0.109091,0.010643
"师叶怡妹2017级",师叶怡妹2017级,,2,4,6,2,8,10,7,0.224719,0.291746,120.003571,0.003846,0.056861,0,0.002136,0,37,0.133333,0.016599
"东昌府区阳光小学王燕玲",东昌府区阳光小学王燕玲,,0,6,6,0,19,19,6,0.278761,0.354762,0,0,0.061682,0,0.001228,0,48,0.166667,0
moockun,moockun,,19,8,27,47,25,72,5,0.352941,0.431389,1611.111905,0.043847,0.059808,0,0.011674,0,37,0.088768,0.095238
"牡丹江农垦管理局吕云龙",牡丹江农垦管理局吕云龙,,2,1,3,3,8,11,1,1,1,0.25,0.003116,0.053753,1,0.001772,0,40,0.333333,0.007222
"刘泞宁",刘泞宁,,4,1,5,6,8,14,1,1,1,0.583333,0.006234,0.053753,1,0.002563,0,39,0.1,0.010229
Lemonwa,Lemonwa,,2,4,6,3,8,11,6,0.303483,0.353279,110.333333,0.000194,0.003981,0,0.001746,0,38,0,0.005524
"师王焕瑶",师王焕瑶,,0,4,4,0,6,6,6,0.261411,0.318254,0,0,0.002528,0,0.001228,0,50,0.083333,0
"汉师1708钱晓莉",汉师1708钱晓莉,,2,1,3,2,4,6,1,1,1,0.833333,0.000137,0.053753,1,0.00201,0,49,0,0.004704
"麦秋琪",麦秋琪,,12,5,17,25,15,40,7,0.221402,0.290913,400.4,0.029399,0.058379,0,0.006926,0,37,0.069853,0.05011
"蔡育琦",蔡育琦,,0,8,8,0,24,24,4,0.356725,0.43306,0,0,0.065255,0,0.001228,0,51,0.160714,0
"快乐樱花",快乐樱花,,0,2,2,0,4,4,8,0.18429,0.229079,0,0,0.055345,0,0.001228,0,52,0.5,0
"黄明喜刘宇帆",黄明喜刘宇帆,,0,3,3,0,8,8,6,0.311224,0.357377,0,0,0.007244,0,0.001228,0,53,0,0
"师李英嫦",师李英嫦,,2,2,4,2,14,16,8,0.18429,0.229079,67,0.005867,0.055345,1,0.002097,0,54,0.25,0.004704
"师张淑霞",师张淑霞,,0,2,2,0,14,14,8,0.18429,0.229079,0,0,0.055345,1,0.001228,0,55,0.5,0
zj123456mooc1488847291912,zj123456mooc1488847291912,,1,0,1,2,0,2,0,0,0,0,0.00324,0,0,0.00247,0,36,0,0.019644
"云南原石",云南原石,,13,5,18,25,13,38,4,0.37037,0.420833,1289.65,0.026435,0.058202,0,0.011281,0,37,0.075,0.062324
"师周婷",师周婷,,2,0,2,4,0,4,0,0,0,0,0.006446,0,1,0.001752,0,35,0,0.006575
251081239qqcom,251081239qqcom,,0,4,4,0,6,6,5,0.306533,0.353279,0,0,0.057402,0,0.001228,0,56,0.166667,0
17教育学刘晶晶,17教育学刘晶晶,,1,2,3,2,6,8,1,1,1,0,0,0.053753,1,0.001228,0,57,0.5,0.003061
"番邦",番邦,,1,5,6,1,19,20,4,0.340782,0.394809,123.533333,0.002964,0.063372,0,0.001689,0,58,0.166667,0.004375
"冷文宇",冷文宇,,0,3,3,0,6,6,6,0.311558,0.356989,0,0,0.004535,0,0.001228,0,59,0,0
171252242郑肖敬,171252242郑肖敬,,0,2,2,0,7,7,8,0.18429,0.229079,0,0,0.055345,1,0.001228,0,60,0.5,0
"霞飞凤舞0206",霞飞凤舞0206,,2,2,4,4,22,26,1,1,1,81,0.007396,0.05423,1,0.001503,0,20,0.416667,0.009791
"姜成友",姜成友,,3,1,4,5,4,9,1,1,1,0,0.008814,0.053753,1,0.00302,0,19,0.25,0.009449
mooc1488588189619,mooc1488588189619,,0,2,2,0,18,18,1,1,1,0,0,0.05423,1,0.001228,0,61,0.5,0
8511李秀林,8511李秀林,,1,2,3,1,13,14,1,1,1,1,0.003106,0.05423,1,0.001489,0,62,0.333333,0.002352
"师刘海银",师刘海银,,0,2,2,0,9,9,1,1,1,0,0,0.054646,1,0.001228,0,63,0.5,0
"陈建伟在读书",陈建伟在读书,,5,1,6,9,4,13,1,1,1,0,0.016496,0.053753,1,0.00252,0,12,0.166667,0.015262
mikikiykt1529722534632,mikikiykt1529722534632,,0,2,2,0,4,4,1,1,1,0,0,0.055509,0,0.001228,0,64,0.5,0
"饶河县胜利农场中心学校张庆敏",饶河县胜利农场中心学校张庆敏,,11,1,12,20,6,26,1,1,1,0.333333,0.032429,0.053753,0,0.005147,0,14,0.083333,0.045624
"黑龙江省农垦胜利农场中学杜建伟",黑龙江省农垦胜利农场中学杜建伟,,1,4,5,1,36,37,7,0.21831,0.271582,3,0.003262,0.056006,1,0.001436,0,66,0.15,0.002352
